LAMMPS (15 Sep 2022)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
# 3d WCA system, random initial configuration

#variable density equal 0.5
variable initial_temperature equal 3.0
variable final_temperature equal 0.1
variable dt equal 0.002
variable tau equal 100*${dt}
variable tau equal 100*0.002
variable thermo_time equal 50000*${dt}
variable thermo_time equal 50000*0.002
variable equil_steps equal 50000
variable run_steps equal 100000

units           lj
atom_style      atomic
dimension       3

lattice         fcc ${density}
lattice         fcc 0.9
Lattice spacing in x,y,z = 1.6441414 1.6441414 1.6441414
region          box block 0 8 0 8 0 8
# number of atom types
create_box      1 box
Created orthogonal box = (0 0 0) to (13.153131 13.153131 13.153131)
  1 by 1 by 1 MPI processor grid
create_atoms    1 box
Created 2048 atoms
  using lattice units in orthogonal box = (0 0 0) to (13.153131 13.153131 13.153131)
  create_atoms CPU = 0.000 seconds
mass 1 1.0

velocity all create ${initial_temperature} 12345
velocity all create 3 12345

pair_style      lj/cut 1.0
#type_1 type_2 epsilon sigma cutoff
pair_coeff      1 1 10.0 0.89089871814 1.0
pair_modify shift yes

timestep ${dt}
timestep 0.002
thermo ${thermo_time}
thermo 100

fix 1 all nvt temp ${initial_temperature} ${initial_temperature} ${tau}
fix 1 all nvt temp 3 ${initial_temperature} ${tau}
fix 1 all nvt temp 3 3 ${tau}
fix 1 all nvt temp 3 3 0.2
run ${equil_steps}
run 50000
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 1.3
  ghost atom cutoff = 1.3
  binsize = 0.65, bins = 21 21 21
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 3.176 | 3.176 | 3.176 Mbytes
   Step          Temp          E_pair         E_mol          TotEng         Press     
         0   3              0              0              4.4978027      2.6986816    
       100   2.5098861      0.98930986     0              4.7523007      14.198153    
       200   2.6950798      1.1642886      0              5.2049344      16.058553    
       300   2.9491215      1.2184584      0              5.6399805      16.840788    
       400   3.0871867      1.3094811      0              5.938          17.860545    
       500   3.0750714      1.3528201      0              5.9631749      17.748147    
       600   3.0298999      1.1877695      0              5.7304003      16.622637    
       700   2.8662006      1.3032305      0              5.6004321      17.463425    
       800   2.968815       1.2790658      0              5.7301139      17.391831    
       900   3.0727934      1.2983453      0              5.9052848      17.445899    
      1000   3.0451236      1.2999486      0              5.8654037      17.698822    
      1100   2.9228979      1.3087537      0              5.6909597      17.584856    
      1200   2.8967201      1.299061       0              5.6420194      17.352135    
      1300   2.9826979      1.277678       0              5.7495402      17.391082    
      1400   3.0467471      1.3081377      0              5.8760268      17.593178    
      1500   3.0452692      1.2823325      0              5.8480059      17.306346    
      1600   2.9518826      1.2765195      0              5.7021814      17.270663    
      1700   2.9492798      1.223619       0              5.6453786      16.793145    
      1800   2.9429342      1.3619633      0              5.7742091      17.936558    
      1900   3.0368303      1.3587054      0              5.9117267      18.122596    
      2000   3.0388597      1.2891451      0              5.8452089      17.540351    
      2100   2.9496568      1.3192772      0              5.741602       17.66688     
      2200   2.9842292      1.2370436      0              5.7112017      17.070038    
      2300   2.9778673      1.3003832      0              5.7650031      17.36573     
      2400   3.034038       1.3775125      0              5.9263473      18.253087    
      2500   3.0406531      1.3531486      0              5.9119012      17.984013    
      2600   2.9701194      1.2548662      0              5.7078699      17.127602    
      2700   2.9790133      1.2334934      0              5.6998315      16.926678    
      2800   3.0022782      1.2706579      0              5.7718762      17.395957    
      2900   3.008277       1.3588776      0              5.8690898      17.919246    
      3000   3.0257846      1.32913        0              5.8655907      17.731295    
      3100   2.9417187      1.2240227      0              5.6344462      16.893866    
      3200   2.9273244      1.2470256      0              5.6358682      16.852774    
      3300   3.0541936      1.22286        0              5.8019134      16.964308    
      3400   3.04683        1.2857964      0              5.8538098      17.276591    
      3500   2.9605943      1.3397631      0              5.7784861      17.995447    
      3600   2.9217382      1.2877987      0              5.6682661      17.373159    
      3700   2.9214304      1.2749956      0              5.6550015      17.247073    
      3800   2.9898119      1.3556763      0              5.8382044      18.072016    
      3900   3.0589754      1.3302905      0              5.9165132      17.903802    
      4000   3.0131829      1.2882832      0              5.8058507      17.405781    
      4100   2.942129       1.2771333      0              5.6881719      17.388227    
      4200   2.9890558      1.2443381      0              5.7257326      16.999324    
      4300   3.0422322      1.284995       0              5.8461151      17.695819    
      4400   3.1390427      1.3390206      0              6.0452856      17.906843    
      4500   3.0769555      1.2990439      0              5.9122235      17.521862    
      4600   2.991275       1.2411084      0              5.72583        17.099705    
      4700   2.9398446      1.3112858      0              5.7188995      17.395035    
      4800   3.0296404      1.2736518      0              5.8158933      17.222082    
      4900   3.0460539      1.285865       0              5.8527149      17.573786    
      5000   3.0164208      1.249288       0              5.7717099      17.249348    
      5100   2.9350403      1.212359       0              5.6127698      16.714854    
      5200   2.921835       1.2893498      0              5.6699623      17.319246    
      5300   3.0143633      1.3276648      0              5.847002       17.849844    
      5400   3.0297744      1.2929561      0              5.8353987      17.508185    
      5500   3.0287696      1.2039318      0              5.7448678      16.740259    
      5600   2.9685341      1.2228495      0              5.6734764      16.923526    
      5700   2.9929946      1.3083249      0              5.7956246      17.44912     
      5800   3.1062206      1.278499       0              5.9355548      17.513206    
      5900   3.0156292      1.3144183      0              5.8356534      17.603941    
      6000   2.9910393      1.2603314      0              5.7446997      17.122992    
      6100   2.9924872      1.2420545      0              5.7285936      17.069802    
      6200   2.967669       1.33582        0              5.7851499      17.79841     
      6300   3.1332787      1.3244415      0              6.0220646      17.984443    
      6400   3.1335662      1.3341603      0              6.0322145      18.046865    
      6500   3.0718321      1.2554511      0              5.8609493      17.393825    
      6600   2.9852984      1.2978588      0              5.7736199      17.445711    
      6700   2.9526927      1.2802262      0              5.7071027      17.334691    
      6800   3.0203819      1.2209442      0              5.7493049      16.995011    
      6900   3.0662708      1.3191883      0              5.9163486      17.687967    
      7000   3.0558749      1.3445054      0              5.9260796      17.959455    
      7100   3.0406891      1.1590307      0              5.7178373      16.264815    
      7200   2.9822675      1.2270694      0              5.6982864      16.6566      
      7300   2.9905241      1.3009328      0              5.7845286      17.394957    
      7400   3.030371       1.3258939      0              5.8692309      17.991224    
      7500   3.0054252      1.3076627      0              5.8135992      17.625519    
      7600   2.9280966      1.2325671      0              5.6225674      17.032731    
      7700   2.9428177      1.2452773      0              5.6573485      16.8552      
      7800   3.0277403      1.2073048      0              5.7466977      16.715371    
      7900   2.9687399      1.3244261      0              5.7753615      17.761994    
      8000   2.9918304      1.3329319      0              5.8184861      17.764547    
      8100   3.0518594      1.2416407      0              5.8171945      17.104716    
      8200   2.9188718      1.2561054      0              5.6322752      16.990263    
      8300   2.9095309      1.2326707      0              5.594836       17.034569    
      8400   2.9899184      1.2911422      0              5.7738299      17.332099    
      8500   3.0360338      1.2676033      0              5.8194302      17.110407    
      8600   3.0123516      1.242714       0              5.7590352      17.124279    
      8700   2.9768876      1.2376965      0              5.7008476      17.121555    
      8800   2.9488801      1.326498       0              5.7476584      17.792423    
      8900   3.0596917      1.3286942      0              5.9159908      17.709463    
      9000   3.0848299      1.2540335      0              5.8790189      17.394444    
      9100   2.9548982      1.2915795      0              5.7217625      17.390094    
      9200   3.0033123      1.1966939      0              5.6994627      16.639044    
      9300   2.9744724      1.2811249      0              5.7406549      17.243274    
      9400   2.9859438      1.2854699      0              5.7621986      17.312236    
      9500   3.0069039      1.2568619      0              5.7650153      17.177029    
