LAMMPS (15 Sep 2022)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
# 3d WCA system, random initial configuration

#variable density equal 0.5
variable initial_temperature equal 3.0
variable final_temperature equal 0.1
variable dt equal 0.002
variable tau equal 100*${dt}
variable tau equal 100*0.002
variable thermo_time equal 50000*${dt}
variable thermo_time equal 50000*0.002
variable equil_steps equal 50000
variable run_steps equal 100000

units           lj
atom_style      atomic
dimension       3

lattice         fcc ${density}
lattice         fcc 1.2
Lattice spacing in x,y,z = 1.4938016 1.4938016 1.4938016
region          box block 0 8 0 8 0 8
# number of atom types
create_box      1 box
Created orthogonal box = (0 0 0) to (11.950413 11.950413 11.950413)
  1 by 1 by 1 MPI processor grid
create_atoms    1 box
Created 2048 atoms
  using lattice units in orthogonal box = (0 0 0) to (11.950413 11.950413 11.950413)
  create_atoms CPU = 0.000 seconds
mass 1 1.0

velocity all create ${initial_temperature} 12345
velocity all create 3 12345

pair_style      lj/cut 1.0
#type_1 type_2 epsilon sigma cutoff
pair_coeff      1 1 10.0 0.89089871814 1.0
pair_modify shift yes

timestep ${dt}
timestep 0.002
thermo ${thermo_time}
thermo 100

fix 1 all nvt temp ${initial_temperature} ${initial_temperature} ${tau}
fix 1 all nvt temp 3 ${initial_temperature} ${tau}
fix 1 all nvt temp 3 3 ${tau}
fix 1 all nvt temp 3 3 0.2
run ${equil_steps}
run 50000
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 1.3
  ghost atom cutoff = 1.3
  binsize = 0.65, bins = 19 19 19
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 3.162 | 3.162 | 3.162 Mbytes
   Step          Temp          E_pair         E_mol          TotEng         Press     
      7300   3.0100647      2.1833722      0              6.6962647      37.12074     
      7400   3.0164949      2.1188918      0              6.6414247      36.836493    
      7500   2.9597825      2.1910451      0              6.6285511      37.429512    
      7600   3.0003865      2.1824586      0              6.6808407      36.930192    
      7700   3.0592581      2.1922207      0              6.7788671      37.108599    
      7800   3.060377       2.1972024      0              6.7855263      37.429463    
      7900   2.9920786      2.1186662      0              6.6045925      36.912454    
      8000   2.9613356      2.0979203      0              6.5377548      36.770697    
      8100   3.0063375      2.1280268      0              6.6353312      36.931221    
      8200   3.0682423      2.1452666      0              6.7453828      36.828858    
      8300   3.0422154      2.1787379      0              6.7398327      37.478097    
      8400   3.0223365      2.1745284      0              6.7058195      37.301008    
      8500   2.9792696      2.1687471      0              6.6354694      37.047149    
      8600   2.8907265      2.2281665      0              6.5621391      37.728202    
      8700   2.9865826      2.1548044      0              6.6324909      36.78296     
      8800   3.0768818      2.2239225      0              6.8369917      38.136458    
      8900   3.0602314      2.2369979      0              6.8251037      37.880047    
      9000   3.0361742      2.1178023      0              6.6698399      36.79973     
      9100   2.9830626      2.1379141      0              6.6103231      36.79916     
      9200   3.0141036      2.1056568      0              6.6246047      36.54473     
      9300   3.0463074      2.1148812      0              6.6821112      37.017049    
      9400   3.0676631      2.2339463      0              6.8331941      37.94839     
      9500   3.1344956      2.2398117      0              6.9392592      38.178466    
      9600   3.0893938      2.0669839      0              6.6988119      36.055538    
      9700   2.9622641      2.1723052      0              6.6135318      37.229865    
      9800   2.9914443      2.1580849      0              6.6430604      37.166225    
      9900   3.0354085      2.1802539      0              6.7311435      37.54042     
     10000   3.0659999      2.2037453      0              6.8004995      37.686597    
     10100   3.0642671      2.0941922      0              6.6883484      36.467041    
     10200   2.9376622      2.1253521      0              6.5296939      36.887729    
     10300   3.0430975      2.0424193      0              6.6048368      36.028982    
     10400   2.9950203      2.2184941      0              6.7088309      37.608551    
     10500   3.0916186      2.1186849      0              6.7538484      36.685342    
     10600   2.9470336      2.1732103      0              6.5916022      37.393959    
     10700   2.9624405      2.016561       0              6.458052       35.54763     
     10800   2.977496       2.1001125      0              6.5641757      36.494781    
     10900   2.9953973      2.2177199      0              6.7086219      38.008797    
     11000   3.0192042      2.2069007      0              6.7334956      37.523515    
     11100   2.9669431      2.2414803      0              6.6897219      37.877094    
     11200   2.9320551      2.1626371      0              6.5585722      37.045093    
     11300   2.8638477      2.1147078      0              6.4083818      36.367538    
     11400   2.9575494      2.1167664      0              6.5509244      36.729606    
     11500   3.0495611      2.106556       0              6.678664       36.685628    
     11600   3.0413335      2.1308326      0              6.6906052      36.846739    
     11700   2.9721744      2.204404       0              6.6604887      37.527318    
     11800   2.9423196      2.1567879      0              6.5681123      36.908935    
     11900   2.9684328      2.0797631      0              6.5302381      36.576983    
     12000   3.0238791      2.1622881      0              6.695892       36.931328    
     12100   3.0685149      2.1896172      0              6.7901421      37.714484    
     12200   3.0700546      2.1129043      0              6.7157376      36.999686    
     12300   2.9437557      2.1767024      0              6.5901799      37.339818    
     12400   2.9775058      2.1010215      0              6.5650994      36.37546     
     12500   3.0295183      2.1872863      0              6.7293448      37.365887    
