LAMMPS (15 Sep 2022)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
# 3d WCA system, random initial configuration

#variable density equal 0.5
variable initial_temperature equal 3.0
variable final_temperature equal 0.1
variable dt equal 0.002
variable tau equal 100*${dt}
variable tau equal 100*0.002
variable thermo_time equal 50000*${dt}
variable thermo_time equal 50000*0.002
variable equil_steps equal 50000
variable run_steps equal 100000

units           lj
atom_style      atomic
dimension       3

lattice         fcc ${density}
lattice         fcc 1.1
Lattice spacing in x,y,z = 1.5377619 1.5377619 1.5377619
region          box block 0 8 0 8 0 8
# number of atom types
create_box      1 box
Created orthogonal box = (0 0 0) to (12.302095 12.302095 12.302095)
  1 by 1 by 1 MPI processor grid
create_atoms    1 box
Created 2048 atoms
  using lattice units in orthogonal box = (0 0 0) to (12.302095 12.302095 12.302095)
  create_atoms CPU = 0.000 seconds
mass 1 1.0

velocity all create ${initial_temperature} 12345
velocity all create 3 12345

pair_style      lj/cut 1.0
#type_1 type_2 epsilon sigma cutoff
pair_coeff      1 1 10.0 0.89089871814 1.0
pair_modify shift yes

timestep ${dt}
timestep 0.002
thermo ${thermo_time}
thermo 100

fix 1 all nvt temp ${initial_temperature} ${initial_temperature} ${tau}
fix 1 all nvt temp 3 ${initial_temperature} ${tau}
fix 1 all nvt temp 3 3 ${tau}
fix 1 all nvt temp 3 3 0.2
run ${equil_steps}
run 50000
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 1.3
  ghost atom cutoff = 1.3
  binsize = 0.65, bins = 19 19 19
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 3.162 | 3.162 | 3.162 Mbytes
   Step          Temp          E_pair         E_mol          TotEng         Press     
         0   3              0              0              4.4978027      3.2983887    
       100   2.30809        1.3535947      0              4.8140393      23.541604    
       200   2.5318841      1.5680914      0              5.3640632      25.90072     
       300   2.723071       1.8509403      0              5.9335525      29.163882    
       400   2.9903798      1.9551145      0              6.4384939      30.633532    
       500   2.9857497      2.3123779      0              6.7888157      34.459688    
       600   3.0797101      2.3380974      0              6.9554069      34.944357    
       700   3.0228655      2.3511562      0              6.8832404      35.200572    
       800   2.9182361      2.3724099      0              6.7476267      35.342892    
       900   2.9760418      2.2641957      0              6.7260786      34.254527    
      1000   2.9489176      2.3954708      0              6.8166874      35.544226    
      1100   3.0109479      2.3999233      0              6.9141398      35.723611    
      1200   3.0225303      2.4042547      0              6.9358365      35.994587    
      1300   3.0530789      2.2945548      0              6.871937       34.571368    
      1400   3.0004399      2.2890883      0              6.7875505      34.504075    
      1500   2.9668055      2.308061       0              6.7560963      34.79096     
      1600   2.9804246      2.351364       0              6.819818       35.16263     
      1700   3.0343051      2.3624367      0              6.911672       35.423702    
      1800   3.0057005      2.4350068      0              6.9413561      36.081468    
      1900   3.0060142      2.3684771      0              6.8752968      35.400413    
      2000   3.0120891      2.2793371      0              6.7952646      34.367319    
      2100   2.8880555      2.4163805      0              6.7463485      35.851103    
      2200   2.9653784      2.3724112      0              6.818307       35.713007    
      2300   3.0468342      2.3568432      0              6.9248629      35.602116    
      2400   3.0374614      2.4089881      0              6.9629555      36.275121    
      2500   2.9817026      2.3496198      0              6.8199898      35.27371     
      2600   2.94468        2.297885       0              6.7127483      34.594032    
      2700   3.0147081      2.2756134      0              6.7954675      34.617815    
      2800   2.9993405      2.3420782      0              6.8388921      35.166026    
      2900   3.0363224      2.312977       0              6.8652368      34.791354    
      3000   2.973715       2.4291864      0              6.8875809      36.031103    
      3100   2.9955014      2.4607925      0              6.9518507      36.258372    
      3200   3.0316367      2.3347008      0              6.8799354      35.025257    
      3300   2.9807732      2.2925872      0              6.7615637      34.47549     
      3400   2.9684782      2.3287044      0              6.7792475      34.924995    
      3500   3.0491001      2.3614617      0              6.9328787      35.34194     
      3600   3.045479       2.3932264      0              6.9592143      35.357853    
      3700   2.9475609      2.3386602      0              6.7578428      35.042861    
      3800   2.894496       2.3190801      0              6.6587041      34.875517    
      3900   2.9769132      2.3025121      0              6.7657015      34.78176     
      4000   3.0467923      2.3247399      0              6.8926968      34.870629    
      4100   3.0639519      2.3063734      0              6.9000572      35.069256    
      4200   3.0771771      2.2295999      0              6.8431118      34.167589    
      4300   2.937431       2.2687576      0              6.6727527      34.574459    
      4400   2.889889       2.283599       0              6.6163159      34.557887    
      4500   3.0217294      2.2789597      0              6.8093406      34.617271    
