LAMMPS (15 Sep 2022)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
# 3d WCA system, random initial configuration

#variable density equal 0.5
variable initial_temperature equal 3.0
variable final_temperature equal 0.1
variable dt equal 0.002
variable tau equal 100*${dt}
variable tau equal 100*0.002
variable thermo_time equal 50000*${dt}
variable thermo_time equal 50000*0.002
variable equil_steps equal 50000
variable run_steps equal 100000

units           lj
atom_style      atomic
dimension       3

lattice         fcc ${density}
lattice         fcc 1.5
Lattice spacing in x,y,z = 1.3867225 1.3867225 1.3867225
region          box block 0 8 0 8 0 8
# number of atom types
create_box      1 box
Created orthogonal box = (0 0 0) to (11.09378 11.09378 11.09378)
  1 by 1 by 1 MPI processor grid
create_atoms    1 box
Created 2048 atoms
  using lattice units in orthogonal box = (0 0 0) to (11.09378 11.09378 11.09378)
  create_atoms CPU = 0.000 seconds
mass 1 1.0

velocity all create ${initial_temperature} 12345
velocity all create 3 12345

pair_style      lj/cut 1.0
#type_1 type_2 epsilon sigma cutoff
pair_coeff      1 1 10.0 0.89089871814 1.0
pair_modify shift yes

timestep ${dt}
timestep 0.002
thermo ${thermo_time}
thermo 100

fix 1 all nvt temp ${initial_temperature} ${initial_temperature} ${tau}
fix 1 all nvt temp 3 ${initial_temperature} ${tau}
fix 1 all nvt temp 3 3 ${tau}
fix 1 all nvt temp 3 3 0.2
run ${equil_steps}
run 50000
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 1.3
  ghost atom cutoff = 1.3
  binsize = 0.65, bins = 18 18 18
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 3.156 | 3.156 | 3.156 Mbytes
   Step          Temp          E_pair         E_mol          TotEng         Press     
         0   3              0.9375         0              5.4353027      55.122803    
       100   1.5842404      3.4510974      0              5.8262976      83.748497    
       200   1.8057695      3.7383164      0              6.445648       87.62746     
       300   2.0078006      4.1699824      0              7.1802128      93.247002    
       400   2.3175428      4.5118076      0              7.9864243      97.698973    
       500   2.5383322      5.0007043      0              8.8063435      103.73255    
       600   2.839386       5.306115       0              9.5631144      107.92304    
       700   3.0846968      5.5116936      0              10.13648       110.6072     
       800   3.192032       5.5927236      0              10.378434      111.32472    
       900   3.0321021      5.6221907      0              10.168123      111.6573     
      1000   2.957033       5.3556785      0              9.7890622      108.59217    
      1100   2.897945       5.2601177      0              9.6049127      107.62394    
      1200   2.8523238      5.4444731      0              9.7208696      109.54401    
      1300   3.0230342      5.4806778      0              10.013015      110.37406    
      1400   3.0324258      5.6605685      0              10.206986      111.9753     
      1500   3.0400302      5.5663282      0              10.124147      110.91263    
      1600   3.008036       5.3507526      0              9.8606035      108.34241    
      1700   2.8686936      5.3856088      0              9.6865481      108.67407    
      1800   3.0032208      5.2391399      0              9.7417715      107.3151     
      1900   2.9815993      5.4920248      0              9.9622399      110.15618    
      2000   3.0850854      5.5142774      0              10.139646      110.47193    
      2100   3.0572887      5.5201179      0              10.103812      110.1447     
      2200   2.9691778      5.4452965      0              9.8968886      109.57202    
      2300   2.8747572      5.4227474      0              9.7327776      109.1342     
      2400   3.0382752      5.1952453      0              9.7504328      106.78608    
      2500   3.0591152      5.3450958      0              9.931528       108.4491     
      2600   3.062866       5.5061634      0              10.098219      110.32925    
      2700   3.074131       5.4849313      0              10.093876      109.97912    
      2800   2.9296471      5.5368526      0              9.9291776      110.17048    
      2900   3.0017338      5.2754683      0              9.7758705      107.77087    
      3000   2.9258376      5.3835764      0              9.7701899      108.85728    
      3100   2.9912395      5.430557       0              9.9152255      109.57034    
      3200   3.0230359      5.5346073      0              10.066947      110.48054    
      3300   3.0947441      5.4500073      0              10.089857      109.80004    
      3400   2.9836997      5.4913982      0              9.9647625      110.0308     
      3500   3.0330972      5.2692412      0              9.8166656      107.4335     
      3600   2.9831119      5.3044944      0              9.7769774      107.90911    
      3700   2.9451706      5.4633073      0              9.8789061      109.81519    
      3800   3.0635712      5.427618       0              10.020731      109.59707    
      3900   3.080117       5.4600329      0              10.077952      109.70737    
      4000   3.0330425      5.4395748      0              9.9869171      109.60662    
      4100   2.9537821      5.4143776      0              9.8428873      109.08605    
      4200   3.0373715      5.2265391      0              9.7803717      107.19514    
      4300   2.9662832      5.4087102      0              9.8559624      109.27089    
      4400   3.0609327      5.4079208      0              9.9970779      109.21251    
      4500   3.0464054      5.4962592      0              10.063636      110.21584    
      4600   3.0588498      5.4089052      0              9.9949395      109.41188    
      4700   2.9525229      5.4358949      0              9.8625168      109.27663    
      4800   2.9007326      5.4431906      0              9.7921649      109.31679    
      4900   2.9959447      5.3600118      0              9.8517346      108.40457    
      5000   2.9869572      5.5126716      0              9.9909196      110.5918     
      5100   3.0275308      5.523367       0              10.062446      110.47447    
      5200   3.0539559      5.4079928      0              9.9866898      109.35068    
      5300   2.9127507      5.4418443      0              9.808837       109.35687    
      5400   2.9258633      5.4124238      0              9.7990759      109.37146    
      5500   3.0604649      5.2876779      0              9.8761337      108.18587    
      5600   3.0008523      5.4334151      0              9.9324957      109.33945    
      5700   2.9711143      5.4962803      0              9.9507756      110.30628    
      5800   2.9137945      5.5739109      0              9.9424685      111.15518    
      5900   2.99581        5.4142787      0              9.9057994      109.18       
      6000   2.9668405      5.2651985      0              9.7132863      107.61763    
      6100   2.9572222      5.255172       0              9.6888394      107.38007    
      6200   2.9323713      5.4761853      0              9.8725946      109.56767    
      6300   2.9838965      5.4925345      0              9.9661937      110.11849    
      6400   3.0356653      5.4322273      0              9.9835018      109.53911    
      6500   3.0462246      5.3504919      0              9.9175976      108.56436    
      6600   2.92023        5.3531468      0              9.731353       108.33092    
      6700   2.8492148      5.4351606      0              9.7068959      109.20647    
      6800   3.0345427      5.330902       0              9.8804934      108.21995    
      6900   2.9951532      5.4454881      0              9.9360242      109.75129    
      7000   2.9929738      5.4571691      0              9.9444376      109.74684    
      7100   3.0280819      5.3959812      0              9.9358862      109.15981    
