LAMMPS (15 Sep 2022)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
# 3d WCA system, random initial configuration

#variable density equal 0.5
variable initial_temperature equal 3.0
variable final_temperature equal 0.1
variable dt equal 0.002
variable tau equal 100*${dt}
variable tau equal 100*0.002
variable thermo_time equal 50000*${dt}
variable thermo_time equal 50000*0.002
variable equil_steps equal 50000
variable run_steps equal 100000

units           lj
atom_style      atomic
dimension       3

lattice         fcc ${density}
lattice         fcc 1.4
Lattice spacing in x,y,z = 1.4189834 1.4189834 1.4189834
region          box block 0 8 0 8 0 8
# number of atom types
create_box      1 box
Created orthogonal box = (0 0 0) to (11.351867 11.351867 11.351867)
  1 by 1 by 1 MPI processor grid
create_atoms    1 box
Created 2048 atoms
  using lattice units in orthogonal box = (0 0 0) to (11.351867 11.351867 11.351867)
  create_atoms CPU = 0.000 seconds
mass 1 1.0

velocity all create ${initial_temperature} 12345
velocity all create 3 12345

pair_style      lj/cut 1.0
#type_1 type_2 epsilon sigma cutoff
pair_coeff      1 1 10.0 0.89089871814 1.0
pair_modify shift yes

timestep ${dt}
timestep 0.002
thermo ${thermo_time}
thermo 100

fix 1 all nvt temp ${initial_temperature} ${initial_temperature} ${tau}
fix 1 all nvt temp 3 ${initial_temperature} ${tau}
fix 1 all nvt temp 3 3 ${tau}
fix 1 all nvt temp 3 3 0.2
run ${equil_steps}
run 50000
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 1.3
  ghost atom cutoff = 1.3
  binsize = 0.65, bins = 18 18 18
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 3.156 | 3.156 | 3.156 Mbytes
   Step          Temp          E_pair         E_mol          TotEng         Press     
         0   3              0              0              4.4978027      4.1979492    
       100   1.7849968      2.2006448      0              4.8768326      50.928329    
       200   2.0330395      2.4580733      0              5.5061435      54.706507    
       300   2.2937111      2.7926284      0              6.2315151      59.646192    
       400   2.59049        3.1075071      0              6.9913447      63.447804    
       500   2.7822297      3.5277115      0              7.6990183      69.228645    
       600   3.0533465      3.6721586      0              8.2499419      71.024941    
       700   3.1624553      3.7369705      0              8.4783372      72.306614    
       800   3.1601768      3.561972       0              8.2999226      70.047792    
       900   2.9603169      3.5236514      0              7.9619586      69.244412    
      1000   2.8842319      3.486234       0              7.8104693      68.561525    
      1100   2.9207571      3.5588323      0              7.9378288      69.374949    
      1200   3.0968121      3.5633376      0              8.2062876      69.893053    
      1300   3.1522651      3.6068359      0              8.3329247      70.898081    
      1400   3.107367       3.5505853      0              8.2093599      69.94013     
      1500   2.8743372      3.6617816      0              7.9711822      70.907259    
      1600   2.9644364      3.4295845      0              7.8740679      68.057667    
      1700   2.9280397      3.5976184      0              7.9875334      70.451644    
      1800   3.046658       3.6383386      0              8.2060941      70.906285    
      1900   3.1135861      3.6272852      0              8.295384       70.854812    
      2000   3.0581976      3.5957753      0              8.1808319      70.222091    
      2100   2.9875387      3.5160472      0              7.9951672      69.100218    
      2200   2.8901618      3.5820283      0              7.9151541      69.622637    
      2300   3.0143223      3.4976491      0              8.0169247      69.124495    
      2400   3.0737651      3.5873733      0              8.1957697      70.135268    
      2500   3.0635447      3.6713927      0              8.2644659      71.197117    
      2600   3.0232987      3.6090748      0              8.1418086      70.155639    
      2700   2.92712        3.5900739      0              7.97861        70.043472    
      2800   2.9324022      3.5387092      0              7.9351647      69.309705    
      2900   3.0166631      3.5287663      0              8.0515515      69.443834    
      3000   3.004253       3.7001017      0              8.2042809      71.239902    
      3100   3.0839151      3.6084947      0              8.2321086      70.156214    
      3200   3.0091612      3.5993706      0              8.1109085      70.139675    
      3300   2.9005228      3.6223768      0              7.9710366      70.541391    
      3400   2.9661979      3.5080885      0              7.9552129      69.173117    
