#! FIELDS phi file.free der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  33
#! SET periodic_phi true
   -3.141592654   15.178782302  -55.489486699
   -2.951193099    6.375979839  -36.262256081
   -2.760793544    1.525007108  -15.055927894
   -2.570393989    0.361591405    1.538022765
   -2.379994435    1.532532173    9.037444250
   -2.189594880    3.187800004    6.944045842
   -1.999195325    3.803780992   -0.938861524
   -1.808795770    2.869881069   -8.211090366
   -1.618396215    1.094689903   -9.027269968
   -1.427996661    0.000000000   -1.081880588
   -1.237597106    1.110883261   13.424685285
   -1.047197551    5.201752159   29.217865452
   -0.856797996   11.974988806   40.742245443
   -0.666398442   20.236176660   44.462819570
   -0.475998887   28.372437865   39.440680674
   -0.285599332   34.786215712   26.687597579
   -0.095199777   38.185818388    8.189544226
    0.095199777   37.745159056  -13.042053986
    0.285599332   33.339879146  -32.549123311
    0.475998887   25.838131691  -44.580552437
    0.666398442   17.213868019  -43.615548852
    0.856797996   10.239413592  -27.303049855
    1.047197551    7.628604450    1.248413775
    1.237597106   10.974695299   33.570551011
    1.427996661   19.988770453   59.109123320
    1.618396215   32.525083181   69.586214484
    1.808795770   45.339264152   62.054250065
    1.999195325   55.186923939   39.286489869
    2.189594880   59.754328421    7.864703053
    2.379994435   58.137774116  -24.368720315
    2.570393989   50.879853212  -50.359626618
    2.760793544   39.682801893  -65.117703630
    2.951193099   26.947033394  -66.479547921
