#! FIELDS phi metad.bias der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  58
#! SET periodic_phi true
   -3.141592654  107.999302165   48.656167980
   -3.033261872  112.754866982   38.867104899
   -2.924931091  116.375836879   28.043471305
   -2.816600310  118.828474621   17.380679910
   -2.708269529  120.178078936    7.755499335
   -2.599938748  120.585716197    0.054380468
   -2.491607967  120.285385793   -5.214067255
   -2.383277185  119.571349336   -7.687219800
   -2.274946404  118.733662231   -7.506603088
   -2.166615623  118.043384683   -5.105802820
   -2.058284842  117.696852267   -1.270711350
   -1.949954061  117.796707619    2.973686854
   -1.841623280  118.328387936    6.544963321
   -1.733292499  119.166837589    8.513981521
   -1.624961717  120.092727788    8.172023399
   -1.516630936  120.840151491    5.249091487
   -1.408300155  121.131828570   -0.114450101
   -1.299969374  120.736354028   -7.319880192
   -1.191638593  119.499675666  -15.510662602
   -1.083307812  117.372713007  -23.607723995
   -0.974977030  114.415776624  -30.690794849
   -0.866646249  110.798825183  -35.954588471
   -0.758315468  106.729534883  -38.853057397
   -0.649984687  102.487047834  -39.192345322
   -0.541653906   98.336879262  -37.041438037
   -0.433323125   94.552872673  -32.515904167
   -0.324992343   91.364948224  -25.918079460
   -0.216661562   88.989237215  -17.599027902
   -0.108330781   87.586745663   -7.999619550
    0.000000000   87.269639036    2.427930865
    0.108330781   88.101791295   13.024868908
    0.216661562   90.059433298   23.136614929
    0.324992343   93.039113620   31.842374781
    0.433323125   96.844756922   38.161981767
    0.541653906  101.158100269   41.183451356
    0.649984687  105.577397910   40.134089977
    0.758315468  109.652092489   34.523406874
    0.866646249  112.876927912   24.487542946
    0.974977030  114.812458522   10.618455794
    1.083307812  115.085543346   -5.827743615
    1.191638593  113.511033696  -23.281195145
    1.299969374  110.078351535  -39.856774977
    1.408300155  104.991198486  -53.682485279
    1.516630936   98.622960019  -63.152145252
    1.624961717   91.522061476  -67.177347915
    1.733292499   84.303832684  -65.282793631
    1.841623280   77.606285847  -57.649547809
    1.949954061   72.005506624  -45.097130731
    2.058284842   67.983232016  -28.844956415
    2.166615623   65.849408203  -10.468354376
    2.274946404   65.740536798    8.302434414
    2.383277185   67.615721413   25.914573420
    2.491607967   71.264825245   40.928812137
    2.599938748   76.356663477   52.397326589
    2.708269529   82.468898341   59.684950010
    2.816600310   89.128435708   62.595731177
    2.924931091   95.877795799   61.329128377
    3.033261872  102.288562328   56.460146140
