#! FIELDS phi file.free der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  33
#! SET periodic_phi true
   -3.141592654 -120.059086036  -54.066684107
   -2.951193099 -128.494376282  -34.127450677
   -2.760793544 -132.985706098  -13.618444787
   -2.570393989 -133.985701594    1.783969115
   -2.379994435 -132.850338352    8.499347620
   -2.189594880 -131.314145221    6.322630773
   -1.999195325 -130.789061078   -1.248269705
   -1.808795770 -131.751929109   -8.243392170
   -1.618396215 -133.522380807   -9.003676183
   -1.427996661 -134.616149621   -1.141628131
   -1.237597106 -133.522766908   13.256157793
   -1.047197551 -129.472667322   28.918284576
   -0.856797996 -122.774627329   40.218165955
   -0.666398442 -114.640788999   43.633972009
   -0.475998887 -106.685839604   38.380642777
   -0.285599332 -100.472814719   25.669444034
   -0.095199777  -97.230416677    7.577971358
    0.095199777  -97.725336265  -13.022100963
    0.285599332 -102.073186432  -32.050684455
    0.475998887 -109.475831492  -44.164454746
    0.666398442 -118.079751856  -43.916555277
    0.856797996 -125.192311955  -28.428088783
    1.047197551 -128.035954052    0.108109062
    1.237597106 -124.794144048   33.834793616
    1.427996661 -115.501521759   61.832045494
    1.618396215 -102.222542725   74.442249318
    1.808795770  -88.418378410   67.166123835
    1.999195325  -77.768735061   42.207703053
    2.189594880  -72.982708246    7.123909159
    2.379994435  -75.062378131  -28.269381511
    2.570393989  -83.196637757  -55.264037653
    2.760793544  -95.222003949  -68.596897250
    2.951193099 -108.369926320  -67.283765283
